,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
45493,140,2,1,0.51,88,0,0,0,1,0,0,1,0
45494,170,29,0,0.0,109,0,0,1,0,0,1,0,0
45495,75,1,1,0.91,89,0,0,1,0,0,0,1,0
45496,99,1,2,1.62,0,0,0,1,0,0,1,0,0
45497,300,4,1,0.91,102,0,0,1,0,0,1,0,0
45498,57,30,1,0.88,365,0,0,1,0,0,0,1,0
45499,70,3,2,0.87,61,0,1,0,0,0,0,1,0
45500,53,30,0,0.0,365,0,0,1,0,0,0,1,0
45501,250,3,2,1.71,88,0,0,1,0,0,1,0,0
45502,100,30,1,1.0,76,0,1,0,0,0,1,0,0
45503,240,7,5,2.68,351,0,0,1,0,0,1,0,0
45504,35,1,32,14.33,28,0,0,0,1,0,1,0,0
45505,200,3,0,0.0,0,0,1,0,0,0,1,0,0
45506,37,5,1,0.43,90,0,1,0,0,0,0,1,0
45507,100,3,1,0.94,9,0,0,1,0,0,0,1,0
45508,195,1,0,0.0,159,0,0,1,0,0,1,0,0
45509,160,3,3,1.64,32,0,0,1,0,0,1,0,0
45510,178,5,3,1.5,258,0,0,0,1,0,1,0,0
45511,269,4,1,0.77,37,0,0,1,0,0,1,0,0
45512,280,4,0,0.0,12,0,1,0,0,0,1,0,0
45513,75,3,10,4.69,116,1,0,0,0,0,0,1,0
45514,200,1,0,0.0,87,0,1,0,0,0,1,0,0
45515,42,3,1,0.67,168,0,1,0,0,0,0,1,0
45516,34,30,0,0.0,336,0,1,0,0,0,0,1,0
45517,35,3,7,2.84,82,0,0,1,0,0,0,1,0
45518,34,30,0,0.0,190,0,1,0,0,0,0,1,0
45519,160,1,12,7.66,28,0,0,1,0,0,1,0,0
45520,130,2,3,1.64,0,0,0,1,0,0,0,1,0
45521,90,14,1,1.0,0,0,0,0,1,0,1,0,0
45522,99,1,1,0.44,0,0,0,1,0,0,0,1,0
45523,50,1,20,8.33,75,0,1,0,0,0,0,1,0
45524,100,1,3,2.14,34,0,1,0,0,0,1,0,0
45525,169,5,1,0.91,269,0,0,1,0,0,0,1,0
45526,150,2,11,4.65,173,0,1,0,0,0,1,0,0
45527,80,4,1,0.64,0,0,0,0,1,0,0,1,0
45528,120,3,3,1.55,63,0,1,0,0,0,1,0,0
45529,106,1,0,0.0,101,0,0,1,0,0,1,0,0
45530,60,1,24,9.6,69,0,1,0,0,0,0,1,0
45531,249,3,4,2.5,12,0,0,1,0,0,1,0,0
45532,175,2,1,1.0,44,0,1,0,0,0,1,0,0
45533,175,2,0,0.0,308,0,0,1,0,0,0,1,0
45534,150,6,0,0.0,0,0,0,1,0,0,1,0,0
45535,150,1,7,3.23,0,0,0,1,0,0,1,0,0
45536,85,3,3,1.64,166,0,0,1,0,0,0,1,0
45537,110,30,3,1.3,206,0,0,1,0,0,1,0,0
45538,75,1,3,1.58,90,0,1,0,0,0,0,1,0
45539,50,30,1,1.0,365,0,0,1,0,0,0,1,0
45540,120,30,2,0.94,123,0,0,1,0,0,1,0,0
45541,85,1,0,0.0,52,0,0,1,0,0,0,1,0
45542,325,2,8,3.43,23,0,0,1,0,0,1,0,0
45543,53,1,3,1.67,27,0,0,1,0,0,0,1,0
45544,350,5,1,1.0,13,0,0,1,0,0,1,0,0
45545,225,5,2,0.91,2,0,0,1,0,0,1,0,0
45546,70,3,1,0.86,116,0,0,1,0,0,0,1,0
45547,75,1,1,0.81,365,0,1,0,0,0,0,1,0
45548,195,2,0,0.0,5,0,1,0,0,0,1,0,0
45549,120,2,4,1.71,31,0,0,1,0,0,1,0,0
45550,80,1,0,0.0,90,0,0,0,1,0,0,1,0
45551,1880,180,0,0.0,359,0,0,1,0,0,0,1,0
45552,63,30,1,0.94,339,0,0,1,0,0,0,1,0
45553,40,5,1,0.44,93,0,1,0,0,0,0,1,0
45554,63,30,0,0.0,365,0,0,1,0,0,0,1,0
45555,150,3,2,1.09,205,0,1,0,0,0,1,0,0
45556,200,4,2,1.0,76,0,0,1,0,0,1,0,0
45557,63,30,0,0.0,365,0,0,1,0,0,0,1,0
45558,165,3,4,2.61,1,0,0,1,0,0,1,0,0
45559,63,30,1,0.94,365,0,0,1,0,0,0,1,0
45560,149,30,0,0.0,59,0,0,1,0,0,1,0,0
45561,50,6,1,0.67,9,0,1,0,0,0,0,1,0
45562,50,1,0,0.0,0,0,1,0,0,0,0,1,0
45563,63,14,1,0.7,365,0,0,1,0,0,0,1,0
45564,180,5,1,0.91,0,0,0,1,0,0,1,0,0
45565,63,30,0,0.0,365,0,0,1,0,0,0,1,0
45566,80,2,2,1.13,55,0,1,0,0,0,0,1,0
45567,200,1,0,0.0,365,0,0,0,1,0,1,0,0
45568,270,30,1,1.0,365,0,0,1,0,0,1,0,0
45569,190,1,0,0.0,365,0,0,0,1,0,0,1,0
45570,300,2,3,1.43,89,0,1,0,0,0,1,0,0
45571,85,2,3,2.25,0,0,1,0,0,0,1,0,0
45572,62,1,7,2.96,84,0,0,1,0,0,0,1,0
45573,50,1,6,2.69,237,0,1,0,0,0,0,1,0
45574,60,7,3,1.53,93,0,1,0,0,0,0,1,0
45575,299,6,0,0.0,0,0,0,1,0,0,1,0,0
45576,345,3,3,1.48,23,0,1,0,0,0,1,0,0
45577,92,1,2,1.2,4,0,0,1,0,0,1,0,0
45578,45,1,1,1.0,0,1,0,0,0,0,0,1,0
45579,53,30,0,0.0,89,0,1,0,0,0,0,1,0
45580,125,2,2,0.88,0,0,1,0,0,0,1,0,0
45581,145,1,1,1.0,361,1,0,0,0,0,0,1,0
45582,495,2,2,0.94,153,0,0,1,0,0,1,0,0
45583,40,1,3,3.0,0,0,0,0,1,0,0,1,0
45584,44,1,0,0.0,175,0,0,1,0,0,0,1,0
45585,40,1,6,2.5,0,0,0,0,1,0,0,1,0
45586,195,1,0,0.0,83,0,1,0,0,0,0,0,1
45587,69,1,3,1.48,25,0,1,0,0,0,0,1,0
45588,120,5,1,1.0,80,0,0,1,0,0,1,0,0
45589,20,1,7,3.96,90,0,0,0,1,0,0,0,1
45590,20,1,14,5.83,90,0,0,0,1,0,0,0,1
45591,135,2,4,1.74,52,0,0,1,0,0,0,1,0
45592,20,1,8,3.38,63,0,0,0,1,0,0,0,1
45593,300,3,0,0.0,334,0,0,1,0,0,1,0,0
45594,285,3,1,0.64,326,0,0,1,0,0,1,0,0
45595,90,1,19,8.38,177,0,1,0,0,0,1,0,0
45596,111,3,1,0.91,183,0,0,1,0,0,1,0,0
45597,140,2,7,3.62,0,0,0,1,0,0,1,0,0
45598,46,1,1,0.41,179,0,0,1,0,0,0,1,0
45599,70,1,5,3.06,179,0,0,0,1,0,0,1,0
45600,96,7,0,0.0,27,0,1,0,0,0,0,1,0
45601,125,2,0,0.0,89,0,1,0,0,0,0,1,0
45602,37,1,1,1.0,5,0,1,0,0,0,0,1,0
45603,134,1,1,0.43,4,0,0,1,0,0,1,0,0
45604,395,3,0,0.0,276,0,0,1,0,0,1,0,0
45605,150,5,0,0.0,365,0,0,1,0,0,0,1,0
45606,95,1,0,0.0,56,0,0,1,0,0,0,1,0
45607,90,9,0,0.0,0,0,0,1,0,0,0,1,0
45608,395,5,1,0.54,365,0,0,1,0,0,1,0,0
45609,60,1,9,4.5,29,0,0,1,0,0,0,1,0
45610,100,2,2,0.95,228,0,0,1,0,0,0,1,0
45611,402,10,0,0.0,73,0,0,1,0,0,1,0,0
45612,400,7,3,1.58,179,0,0,1,0,0,1,0,0
45613,300,1,0,0.0,0,0,0,1,0,0,1,0,0
45614,49,1,5,2.11,32,0,0,0,1,0,0,1,0
45615,120,2,0,0.0,89,0,0,0,1,0,0,1,0
45616,289,2,0,0.0,55,0,0,1,0,0,1,0,0
45617,350,2,3,1.76,303,0,0,1,0,0,1,0,0
45618,199,1,5,2.68,304,0,0,1,0,0,0,1,0
