,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
2451,1044502,195,4,121,1.79,280,1,0,0,1,0,0
2458,1049224,190,30,31,0.46,112,1,0,0,1,0,0
2459,1051575,95,2,25,0.6,362,0,1,0,1,0,0
2486,1072212,50,3,139,2.03,138,0,1,0,1,0,0
2517,1093977,85,30,23,0.52,0,1,0,0,1,0,0
2521,1096511,85,2,219,3.15,169,0,1,0,1,0,0
2524,1099244,200,3,3,0.07,0,1,0,0,0,0,1
2540,1109182,50,3,11,0.2,0,0,1,0,1,0,0
2546,1112407,158,4,27,0.39,320,1,0,0,1,0,0
2560,1123960,70,28,16,0.24,365,0,1,0,1,0,0
2570,1130138,110,3,70,1.0,21,1,0,0,1,0,0
2574,1131804,140,30,17,0.25,300,1,0,0,1,0,0
2576,1132409,79,30,12,0.17,40,1,0,0,0,0,1
2582,1137270,135,3,13,0.19,338,0,1,0,0,0,1
2587,1138455,179,4,27,0.39,18,1,0,0,0,0,1
2598,1146653,1000,30,24,0.35,365,1,0,0,0,0,1
2609,1150869,170,30,4,0.08,120,1,0,0,0,1,0
2611,1151343,94,1,28,0.4,80,0,1,0,1,0,0
2629,1170261,69,4,137,2.08,240,0,1,0,1,0,0
2650,1183667,85,4,33,1.38,0,1,0,0,0,0,1
2651,1185357,85,3,117,1.72,0,0,1,0,0,0,1
2663,1194469,150,3,1,0.91,89,0,1,0,0,0,1
2674,1202274,85,1,0,0.0,365,0,1,0,1,0,0
2675,1203737,180,5,81,1.21,60,1,0,0,0,0,1
2678,1204146,82,3,5,0.11,316,0,1,0,1,0,0
2687,1213745,175,8,3,0.05,185,1,0,0,0,0,1
2688,1215122,95,7,2,0.04,365,0,1,0,1,0,0
2712,1229630,100,60,0,0.0,365,1,0,0,1,0,0
2715,1233090,120,3,8,0.12,300,1,0,0,1,0,0
2723,1240586,99,25,4,0.11,0,1,0,0,1,0,0
2733,1252565,58,5,66,0.98,155,0,1,0,1,0,0
2735,1255828,95,3,175,2.57,189,0,1,0,0,0,1
2739,1257184,115,30,60,0.88,363,1,0,0,1,0,0
2740,1258651,300,3,56,1.57,346,1,0,0,1,0,0
2745,1263964,95,5,198,3.0,261,0,1,0,1,0,0
2749,1264920,165,3,21,0.31,364,0,0,1,0,0,1
2772,1284189,200,1,20,0.3,247,1,0,0,0,0,1
2785,1294973,140,5,74,1.22,13,0,1,0,0,0,1
2793,1303850,94,2,1,0.31,0,1,0,0,0,1,0
2799,1306749,145,2,57,0.87,160,1,0,0,1,0,0
2802,1307723,150,1,24,0.48,365,0,1,0,0,0,1
2835,1330430,199,5,200,3.08,128,1,0,0,0,0,1
2851,1338362,125,30,2,0.04,365,1,0,0,0,0,1
2854,1342515,61,1,72,1.73,246,0,1,0,1,0,0
2859,1347204,190,3,114,1.73,263,1,0,0,1,0,0
2862,1348118,185,3,127,1.94,233,1,0,0,1,0,0
2864,1349237,85,2,134,1.99,155,0,1,0,1,0,0
2865,1349658,75,2,9,0.16,49,0,1,0,0,1,0
2881,1360932,120,15,0,0.0,365,0,1,0,1,0,0
2883,1361204,50,2,36,0.54,20,0,1,0,1,0,0
2887,1365597,148,4,25,0.38,90,0,1,0,0,0,1
2893,1377320,169,120,3,0.05,0,1,0,0,0,0,1
2899,1386742,89,1,209,4.72,81,0,1,0,0,0,1
2919,1403635,75,5,3,0.22,0,0,1,0,1,0,0
2928,1407633,75,4,3,0.07,365,0,1,0,1,0,0
2955,1435289,124,30,53,0.81,280,1,0,0,0,0,1
2956,1436810,99,30,21,0.32,65,1,0,0,0,0,1
2960,1438870,75,4,33,0.8,85,0,1,0,1,0,0
2963,1440363,125,3,212,3.17,77,1,0,0,1,0,0
2976,1455804,175,2,1,0.06,0,1,0,0,0,1,0
2978,1456352,178,32,132,1.98,365,1,0,0,0,0,1
2982,1459862,55,1,176,2.63,287,0,1,0,1,0,0
2990,1465446,175,1,126,4.46,319,1,0,0,1,0,0
2997,1467392,60,2,110,1.68,139,0,1,0,1,0,0
3000,1469955,150,30,16,0.28,258,1,0,0,0,0,1
3020,1484031,100,2,13,0.2,350,0,1,0,1,0,0
