,Stars,Accuracy,Communication,Cleanliness,Location,Check-In,Value
1465446,4.5,10,10,10,10,10,9
1467392,4.5,9,10,9,9,10,9
1469955,4.5,10,9,8,10,10,9
1484031,5,10,10,10,9,10,9
1497024,4.5,10,10,10,9,10,9
1533652,5,10,10,10,10,10,10
1549413,4.5,10,10,9,9,10,9
1559912,5,10,10,8,10,10,10
1560339,5,10,10,9,10,10,9
1567225,4.5,10,10,9,10,10,9
1573068,4.5,9,10,9,9,10,8
1578103,5,10,10,9,10,10,10
1584167,,,,,,,
1586773,5,10,10,9,9,10,9
1606640,,,,,,,
1617443,4.5,10,10,9,9,10,9
1619695,4.5,10,10,9,9,10,10
1633420,5,10,10,9,9,10,10
1634313,null,10,10,10,10,10,10
1649957,4.5,9,9,8,9,10,8
1664614,5,10,10,10,10,10,10
1669250,5,10,10,10,10,10,9
1683227,null,,,,,,
1688914,4.5,10,10,9,9,10,9
1696050,4.5,9,10,8,9,9,9
1700471,4.5,8,10,8,9,9,8
1706997,5,10,10,10,10,10,10
1713965,null,9,10,6,9,9,7
1716640,4.5,9,9,8,9,9,9
1731365,5,10,10,9,10,10,10
1732866,5,10,10,10,9,10,10
1750248,5,10,10,10,9,10,9
1752112,4.5,9,9,10,10,9,9
1771965,4.5,10,10,9,9,10,9
1776732,5,10,10,9,10,10,10
1781786,4.5,9,10,9,9,10,9
1793091,5,10,10,10,10,10,9
1812111,null,6,10,6,10,8,6
1813829,4,9,9,8,9,9,9
1826701,4.5,9,10,9,9,9,9
1831227,4.5,9,9,9,8,9,9
1844792,null,10,10,8,6,10,8
1850695,2.5,7,8,6,9,9,8
1851567,null,,,,,,
1855846,4.5,10,10,9,10,10,9
1856182,,,,,,,
1861493,5,10,10,10,10,10,10
1865884,null,,,,,,
1908852,4.5,10,10,10,9,10,9
1910123,,,,,,,
1914231,4.5,10,10,9,9,9,9
1918017,4,9,10,9,10,10,9
1919766,4.5,9,9,9,9,9,8
1928961,4.5,9,9,9,9,9,9
1935826,null,10,10,10,10,10,10
1937226,4.5,9,9,8,9,9,9
1940534,,,,,,,
1945115,5,10,10,10,10,10,10
1952271,5,10,10,10,10,10,10
1959585,,,,,,,
1961937,4.5,9,9,9,9,10,10
1965712,null,,,,,,
1971540,4.5,9,10,9,10,10,9
1972126,,,,,,,
1974700,4.5,10,10,10,8,10,9
1979579,null,,,,,,
1983188,5,10,10,10,9,10,9
1983466,4.5,10,10,9,10,10,10
1987627,4,8,10,8,10,8,9
1988823,5,10,10,10,9,10,10
2003807,null,,,,,,
2010971,4.5,10,10,10,9,10,10
2011692,4.5,10,10,9,10,10,9
2012104,5,10,10,9,10,10,9
2014701,5,10,10,10,10,10,10
2017295,,,,,,,
2022728,4.5,10,10,9,9,10,9
2023577,4,9,9,8,9,8,8
2028625,null,,,,,,
2028677,4.5,9,9,10,8,9,9
2031495,4.5,10,10,9,9,10,9
2033224,4,9,9,9,8,9,9
2033846,4.5,10,10,9,9,10,9
2055303,4.5,9,10,9,9,10,10
2056307,null,10,10,10,10,10,10
2057403,4.5,10,10,10,9,10,9
2061367,null,,,,,,
2061811,4.5,9,10,6,10,9,8
2065075,5,9,10,9,9,10,9
2066165,,,,,,,
2076101,null,10,10,10,10,10,10
2079671,4.5,9,10,8,9,10,9
2083749,5,10,10,10,9,10,10
2101349,5,10,10,10,10,9,10
2102651,null,,,,,,
2103480,null,,,,,,
2107372,null,,,,,,
2108237,5,10,10,9,10,10,10
2110938,4.5,9,10,9,10,10,9
2111336,4.5,10,10,9,9,10,9
2119216,4.5,9,10,9,9,9,8
2120619,4.5,10,10,10,10,10,10
2127713,4.5,9,8,8,9,9,9
2135766,null,,,,,,
2137111,4.5,9,10,9,10,10,10
2141667,5,10,10,10,10,10,10
2151259,null,,,,,,
2163602,5,10,10,10,10,10,10
2168268,5,10,9,10,9,10,10
2169722,,,,,,,
2170035,5,10,10,10,9,10,10
2181941,4.5,9,10,8,10,10,9
2183423,4.5,10,10,9,9,10,9
2189742,5,10,10,9,9,10,9
2194382,null,10,10,10,10,10,10
2200247,5,10,10,9,10,10,10
2210041,4.5,9,10,9,10,9,9
2210281,,,,,,,
2210663,5,10,10,10,10,10,10
2213680,null,10,10,9,8,10,9
2214831,4.5,9,9,10,10,9,9
2214978,null,,,,,,
2219294,null,,,,,,
2224896,null,,,,,,
2230762,5,10,10,10,10,10,10
2238435,null,,,,,,
2243180,5,10,10,10,10,9,10
2243769,null,,,,,,
2243962,null,,,,,,
2249878,null,,,,,,
2249928,null,,,,,,
2250790,5,10,10,9,10,10,10
2255501,5,9,9,9,9,9,9
2262868,null,10,10,10,10,10,10
2263265,4.5,9,10,9,10,10,9
2271792,4.5,9,10,8,10,9,9
2273019,null,,,,,,
2277707,4.5,10,10,8,10,10,9
2283143,null,,,,,,
2284484,null,,,,,,
2285355,null,,,,,,
2309363,5,10,10,10,10,10,10
2310542,null,,,,,,
2314392,5,10,10,10,10,10,9
2314556,,,,,,,
2318126,4.5,9,10,8,9,10,9
2329047,null,,,,,,
2334411,4.5,10,10,9,10,10,10
2346671,4.5,10,10,9,9,10,9
2355060,null,10,10,10,10,10,10
2396867,4,10,8,6,9,8,8
2407196,5,10,10,10,9,10,10
2417098,4,8,8,9,10,8,7
2425980,null,10,10,10,9,10,9
2431784,null,,,,,,
2435621,4.5,9,9,9,10,9,9
2447868,5,10,10,10,10,9,10
2451438,5,10,10,10,10,10,10
2465699,5,10,10,9,9,10,10
2467680,null,,,,,,
2467814,,,,,,,
2468186,5,10,10,10,10,10,10
2473611,5,10,10,10,10,10,10
2473861,4.5,10,9,9,9,9,9
2488022,4.5,10,10,9,9,10,9
2508745,5,10,10,9,9,10,9
2514760,5,10,10,10,10,10,10
2530057,null,,,,,,
2532068,null,,,,,,
2538248,4.5,9,10,9,9,10,9
2539759,null,,,,,,
2552606,4.5,10,9,10,9,9,10
2563440,5,10,10,9,9,10,10
2563611,5,10,10,10,10,10,9
2571283,null,10,10,7,10,9,10
2577467,5,10,10,10,9,10,9
2586484,4.5,9,9,9,9,9,9
2606370,5,10,10,9,10,10,10
2608217,5,10,10,10,10,10,10
2611765,4.5,9,9,9,10,10,9
2612035,null,,,,,,
2626457,4.5,10,10,10,10,10,10
2631224,5,10,10,10,10,10,10
2634963,4,9,9,9,9,8,8
2644321,null,10,10,6,10,10,10
2652865,null,,,,,,
2657689,null,,,,,,
2669352,5,9,10,9,10,10,9
2674267,4.5,9,9,9,10,9,9
2683758,5,10,10,10,10,10,10
2687375,4,9,10,8,8,10,8
2700296,4.5,10,10,10,10,10,10
2700596,5,10,10,10,10,10,10
2702351,4.5,10,9,9,9,10,9
2735650,4.5,9,10,9,10,10,9
2739420,5,10,10,10,9,10,9
2744185,5,10,10,10,9,10,10
2771877,null,,,,,,
2774934,5,10,10,9,10,10,10
2775553,5,9,10,9,10,10,10
2778250,4.5,10,10,9,9,10,9
2786015,4.5,10,10,9,9,10,10
2793834,,,,,,,
2799360,null,10,10,10,10,10,10
2804557,null,10,10,10,10,10,10
2807615,5,10,10,10,10,10,9
2821079,null,10,10,10,10,10,10
2821782,5,10,10,10,9,9,10
2835738,5,10,10,10,10,10,10
2858010,4.5,9,10,9,9,10,9
2863589,5,10,10,10,10,10,9
2875923,null,10,10,10,10,10,10
2879157,4.5,10,10,9,10,10,9
2909461,4,9,9,8,10,9,8
2935456,5,10,10,10,10,10,10
2940163,4.5,10,10,9,10,10,9
2958412,5,10,10,9,9,10,9
2979714,5,10,10,10,10,10,10
2994478,5,10,10,9,10,10,9
3003386,5,10,10,9,10,10,10
3018422,5,10,10,10,10,10,10
3052726,4.5,10,10,9,10,10,9
3070876,3.5,6,9,7,10,9,8
3083899,null,10,10,10,10,10,10
3084473,4.5,10,10,9,10,10,9
3103596,null,10,10,9,10,10,10
3112872,5,10,10,10,10,10,10
3116327,null,,,,,,
3120957,5,10,10,10,10,10,10
3122230,null,,,,,,
3139749,4.5,9,10,7,7,10,10
3151929,,,,,,,
3185489,,,,,,,
3198365,4.5,10,10,9,9,10,9
3198824,4.5,9,10,10,10,10,9
3201019,5,10,10,10,10,10,10
3201696,5,10,10,10,9,10,10
3208747,5,10,10,10,10,9,9
3235070,5,10,10,10,9,10,10
3236301,,,,,,,
3247291,5,10,10,10,10,10,10
3248526,5,10,10,8,10,10,10
3251901,null,10,9,9,10,10,10
3265275,null,,,,,,
3272628,5,10,10,10,9,10,10
3301484,null,,,,,,
3302333,,,,,,,
3303382,5,10,10,10,10,10,9
