,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
8161,5538720,59,1,66,1.44,365,0,1,0,0,0,0,1,0
8162,5538798,84,2,5,0.11,364,0,1,0,0,0,0,1,0
8163,5541897,140,30,9,0.2,297,0,0,1,0,0,1,0,0
8164,5543210,90,10,6,0.13,0,0,1,0,0,0,0,1,0
8165,5543996,125,1,0,0.0,0,0,1,0,0,0,1,0,0
8166,5545560,250,3,23,2.53,27,0,0,1,0,0,0,1,0
8167,5545876,100,5,0,0.0,0,0,1,0,0,0,1,0,0
8168,5546217,190,2,105,2.38,322,0,1,0,0,0,1,0,0
8169,5547081,298,3,16,0.35,261,0,1,0,0,0,1,0,0
8170,5547802,109,1,77,2.16,0,0,1,0,0,0,1,0,0
8171,5548012,200,6,23,0.5,0,0,0,1,0,0,1,0,0
8172,5549530,99,2,117,2.56,35,0,0,1,0,0,0,1,0
8173,5550377,250,2,12,0.3,0,0,0,1,0,0,1,0,0
8174,5550788,95,7,1,0.11,365,0,0,1,0,0,0,1,0
8175,5557097,59,5,100,2.12,292,0,0,1,0,0,0,1,0
8176,5557135,115,1,7,0.17,0,0,0,1,0,0,0,0,1
8177,5557536,200,2,5,0.12,363,0,0,0,1,0,1,0,0
8178,5557684,75,1,8,0.19,365,0,1,0,0,0,0,1,0
8179,5558242,115,5,4,0.09,0,0,1,0,0,0,1,0,0
8180,5558596,146,4,38,0.82,46,0,0,1,0,0,1,0,0
8181,5560024,52,1,127,2.71,362,0,0,0,1,0,0,1,0
8182,5561355,110,3,4,0.09,0,0,1,0,0,0,0,1,0
8183,5562394,60,1,0,0.0,0,0,1,0,0,0,0,1,0
8184,5562420,450,5,132,2.82,151,0,1,0,0,0,1,0,0
8185,5562710,160,1,141,2.99,270,0,0,1,0,0,1,0,0
8186,5562775,160,3,19,0.41,0,0,0,1,0,0,1,0,0
8187,5562962,149,2,15,0.32,0,0,0,1,0,0,1,0,0
8188,5567220,100,2,32,0.69,0,0,0,1,0,0,1,0,0
8189,5567278,220,3,115,2.44,212,0,0,1,0,0,1,0,0
8190,5567361,120,1,252,5.48,1,0,1,0,0,0,1,0,0
8191,5567401,99,25,24,0.52,0,0,1,0,0,0,1,0,0
8192,5568799,65,1,27,0.58,28,0,0,1,0,0,0,1,0
8193,5569167,50,4,1,0.02,0,0,0,0,1,0,0,1,0
8194,5569302,65,5,0,0.0,0,0,1,0,0,0,1,0,0
8195,5569464,125,1,0,0.0,0,0,1,0,0,0,1,0,0
8196,5571405,73,30,8,0.18,365,0,0,1,0,0,0,1,0
8197,5572300,58,5,6,0.14,185,0,0,1,0,0,0,1,0
8198,5576528,75,7,10,0.22,2,0,0,1,0,0,0,1,0
8199,5578843,2000,40,28,0.6,0,0,1,0,0,0,0,1,0
8200,5579147,149,2,1,0.02,0,0,1,0,0,0,1,0,0
8201,5579629,54,2,5,0.15,0,0,1,0,0,0,0,1,0
8202,5580236,325,3,2,0.04,0,0,0,1,0,0,1,0,0
8203,5580648,45,2,13,0.27,0,0,1,0,0,0,0,1,0
8204,5581272,38,30,4,0.09,316,0,0,0,1,0,0,1,0
8205,5581273,120,3,38,0.82,178,0,0,1,0,0,0,0,1
8206,5581442,38,30,5,0.12,274,0,0,0,1,0,0,1,0
8207,5582038,135,2,15,0.37,363,0,1,0,0,0,1,0,0
8208,5582283,2000,2,0,0.0,365,0,1,0,0,0,0,1,0
8209,5588253,60,2,26,0.74,32,0,1,0,0,0,1,0,0
