,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
122,310338,75,1,30,0.37,365,0,1,0,1,0,0,9.0,9.0,7.0,9.0,9.0,8.0
123,310796,109,30,17,0.21,301,1,0,0,0,0,1,8.0,9.0,8.0,10.0,9.0,7.0
124,318021,110,3,43,0.56,247,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
125,320865,135,30,24,0.29,217,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
127,323706,499,7,64,0.76,38,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
128,328693,179,3,263,3.17,207,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
129,334781,80,1,9,0.14,364,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,9.0
130,336220,125,3,187,2.25,278,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
131,339456,387,1,23,0.73,15,1,0,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
132,341982,99,2,36,0.49,0,1,0,0,0,0,1,7.0,9.0,9.0,10.0,9.0,8.0
134,342995,75,2,67,0.81,157,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
135,343971,89,1,56,0.69,365,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
136,363320,125,2,6,0.09,88,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
138,377217,145,3,22,0.26,0,1,0,0,0,0,1,9.0,10.0,9.0,10.0,9.0,8.0
139,382523,150,2,10,0.13,365,0,1,0,1,0,0,9.0,10.0,10.0,10.0,10.0,9.0
140,382524,180,2,13,0.16,365,0,1,0,1,0,0,10.0,10.0,10.0,9.0,9.0,10.0
141,387377,195,2,67,0.82,88,1,0,0,1,0,0,9.0,9.0,9.0,8.0,10.0,9.0
142,393479,190,4,18,0.22,151,1,0,0,0,0,1,10.0,10.0,10.0,10.0,9.0,10.0
143,396636,135,5,35,0.43,327,1,0,0,1,0,0,10.0,10.0,10.0,9.0,10.0,9.0
144,397034,125,1,25,0.3,365,0,1,0,0,0,1,9.0,10.0,10.0,10.0,10.0,10.0
145,397420,85,3,6,0.08,364,0,1,0,1,0,0,9.0,10.0,9.0,8.0,10.0,9.0
147,420001,147,30,47,0.59,31,1,0,0,0,0,1,9.0,10.0,9.0,9.0,10.0,9.0
148,430665,250,1,8,0.1,0,1,0,0,0,0,1,10.0,10.0,9.0,9.0,10.0,10.0
150,436916,55,2,7,0.09,0,0,1,0,1,0,0,10.0,10.0,8.0,9.0,10.0,10.0
152,443646,395,7,38,0.47,99,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
153,446367,90,4,18,0.24,282,1,0,0,0,0,1,8.0,9.0,6.0,10.0,10.0,8.0
154,449130,85,1,60,0.73,60,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
155,450577,250,3,68,0.83,326,1,0,0,0,0,1,9.0,10.0,10.0,10.0,10.0,9.0
156,454334,65,1,3,0.04,0,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
157,455801,65,4,109,1.33,0,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,9.0
158,456336,175,14,61,0.75,29,0,1,0,1,0,0,10.0,10.0,9.0,9.0,9.0,9.0
159,456526,75,3,26,1.7,72,0,1,0,1,0,0,9.0,9.0,9.0,9.0,9.0,9.0
160,460999,150,30,7,0.11,0,1,0,0,1,0,0,8.0,9.0,9.0,9.0,9.0,9.0
161,471712,70,28,65,0.81,65,0,1,0,0,1,0,10.0,10.0,10.0,9.0,10.0,10.0
162,472052,180,5,13,0.16,0,1,0,0,0,0,1,9.0,10.0,10.0,10.0,10.0,10.0
163,476983,85,1,412,5.12,300,0,1,0,1,0,0,10.0,9.0,10.0,9.0,10.0,9.0
164,491942,199,3,24,0.32,0,1,0,0,0,0,1,9.0,10.0,9.0,9.0,9.0,9.0
165,501082,79,30,183,2.26,361,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
166,501693,99,1,255,3.42,238,0,1,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
